year,scheme,title
2022,PKMVGK,Peran Anak Muda untuk Membebaskan Anak Jalanan Kota Medan dari Kesenjangan Pendidikan
2022,PKMK,Tempat sampah Audible Portable Berbasis Arduino Sebagai solusi Cerdas Meningkatkan Kebersihan Lingkungan
2022,PKMPM,PROGRAM LIFELONG LEARNING MERDEKA BELAJAR EDUKASI KOGNITIF MEWUJUDKAN SDGs GOAL 4 GUNA MENINGKATKAN KUALITAS SDM DI SLB MARKUS MEDAN
2022,PKMPM,SELA (Self Awareness) Campaign sebagai Upaya Peningkatan Kesadaran Mental bagi Remaja di Desa Paya Bakung
2022,PKMRE,Serai Wangi Sebagai Insektisida Alami Pada Tanaman Organik
2022,PKMRE,Pemanfaatan Karbohidrat Pada Rebung Bambu (Dendrocalamus Asper) Sebagai Media Alternatif Pertumbuhan Jamur Candida Albicans
2022,PKMRE,TISU BASI: Limbah Batang Singkong (Manihot esculenta Crantz) Sebagai Bahan Baku Alternatif Pembuatan Kertas Tisu
2022,PKMK,"Kreasi Sabun ""KOSERUK"""
2022,PKMK,Pemanfaatan Ekstrak Buah Sebagai Bahan Pembuatan Hand Sanitizer Alami
2022,PKMRSH,Eksplorasi Etnomatematika Rumah Adat Panggong Kepulauan Bangka Belitung
2022,PKMRSH,Pengembangan Permainan Jentik Biji Saga Sebagai Media Berhitung
2022,PKMPI,"Inovasi Mungkus, Gurita, Ipun dengan teknologi pengasapan khas Seluma"
2022,PKMPI,PAK TEJO: Go Digital
2022,PKMPM,Modernisasi Birokrasi PKK Yosomulyo berbasis Aplikasi Digital dengan Single Identity
2022,PKMPM,Pelatihan pengelolaan website bagi pegawai kelurahan Notoharjo Lampung Tengah sebagai upaya peningkatan kualitas SDM di Era Society 5.0
2022,PKMK,POWER TRHESHER SOLAR CELL BERBASIS INTERNET OF THINGS SOLUSI PETANI MELEK TEKNOLOGI UNTUK MENINGKATKAN KETAHANAN PANGAN DAN ENERGI RAMAH LINGKUNGAN
2022,PKMRSH,Aplikasi Etnomatematika Motif Batik Lampung Berbasis Android Sebagai Upaya Pencegahan Erosi Budaya di Kalangan Generasi Alpha
2022,PKMK,LARUTAN ALGA (ALVAREZII GAMBIR) SEBAGAI PENGAWET IKAN SIAP PAKAI
2022,PKMRE,Beton Ringan Foam Pasir Vulkanik sebagai Pelat Lantai Rumah Tinggal
2022,PKMRE,Proyeksi Perkembangan Industri Manufaktur dan Jasa pada Masa Pandemi Covid-19
2022,PKMRE,Evaluasi Aktivitas Antimikroba Bubuk Probiotik Pediococcus acidilactici Pasca Spray Drying
2022,PKMRE,PENGARUH JENIS SURFAKTAN TERHADAP POTENSI DAN PENETRASI GEL TRANSFERSOM EKSTRAK ETANOL DAUN BINAHONG (Anredera cordifolia (Ten.) Steenis.) SEBAGAI PENYEMBUH LUKA
2022,PKMRE,Pengembangan Kultur Starter Spray Dried Pediococcus acidilactici: Identifikasi Pengaruh Media dan Durasi Rehidrasi Terhadap Aktivitas Metabolik Sel
2022,PKMRSH,Instagram versus TikTok : Pengaruh Promosi dan Persepsi Harga Terhadap Keputusan Pembelian Produk Skincare (Studi Kasus pada Mahasiswa di Tangerang Selatan)
2022,PKMRE,Analisa Heat Loses dan Pressure Drop Pada Sistem Pemipaan Untuk Penyediaan Air Bersih dari Air Laut
2022,PKMRE,PERANAN ANTI ULTRAVIOLET KOMPOSIT BERBASIS POLIMER LDPE DAN EVA TERHADAP KARAKTERISTIK DAN MEKANIK BAHAN ISOLATOR LISTRIK
2022,PKMK,Inovasi Bungkus Kado dengan Konsep Customize Bersama Biftreal “Box Gift Cereal”
2022,PKMPM,Kreasi Pengelolahan Limbah Minyak Jelantah Menjadi Sabun Berbasis Pemberdayaan Masyarakat Sebagai Pendukung SUSTAINABLE DEVELOPMENT (SDGs)
2022,PKMK,Masker Organik Berbahan Dasar Daun Sirih Cina (Peperomia Pellucida) sebagai Solusi Wajah Berjerawat
2022,PKMRSH,ANALISIS PRINSIP KONSERVATISME AKUNTANSI DAN FAKTOR YANG MEMPENGARUHINYA
2022,PKMK,SABUN ORGANIK BERBAHAN LIMBAH KULIT DELIMA UNTUK PENCEGAHAN JERAWAT PUNGGUNG DAN KANKER KULIT
2022,PKMPM,"Pengabdian Masyarakat Menanam 1000 Pohon Mangrove Rhizophora Dalam Kegiatan Penghijauan Lingkungan di Pantai Bahagia, Kecamatan Muara Gembong, Kabupaten Bekasi"
2022,PKMRSH,Hubungan Berpikir Positif dan Rasa Bersyukur terhadap Resiliensi Diri (Studi Kasus terkena PHK di Masa Pandemi Covid-19)
2022,PKMK,Eco-Trip Apps: Usaha Berbasis Teknologi Digital Aplikasi Ecotourism untuk Meningkatkan Pariwisata Berbasis Kelestarian Lingkungan di Malang Raya
2022,PKMPM,Kertas Rasa Syukur dan Pemberian Tanggapan Positif sebagai Upaya Peningkatan Rasa Kepercayaan Diri Anak-Anak Panti Asuhan Dorkas
2022,PKMRSH,"Analisis Turnover Intention pada ""Virtual Companion"" di Indonesia: Peranan Burnout dan Kepuasan Kerja selama Pandemi COVID-19"
2022,PKMRSH,Cross Cultural Comparison pada Cognitive Dissonance Masyarakat Jawa dan Sumatera dalam Hukuman Mati kepada Pengedar Narkoba di Indonesia
2022,PKMRSH,"Pengaruh Diffusion of Responsibility, Perbedaan Etnis, dan Perbedaan Gender pada Perilaku Bystander dalam Fenomena Rasisme"
2022,PKMVGK,Melatih Berpikir Kritis bersama Ruang Berpikir: Sebuah Pendekatan Problem Based Learning
2022,PKMVGK,Perempuan & Anak Indonesia Bebas Dari Sexual Harrassement
2022,PKMPM,Upaya Meningkatkan Kecerdasan kepada Anak Panti Asuhan dengan Metode Sentra atau Beyond Center Circle Time (BCCT) di Panti Yatim Indonesia
2022,PKMK,"""INOVASI PEMANFAATAN SOLAR TRACKER SEBAGAI PENGUMPUL ENERGI MATAHARI DAN PENGUMPUL AIR HUJAN KE BAK AIR DI GEDUNG BERTINGKAT"
2022,PKMRE,Desain dan Optimasi Primer secara In Silico untuk Deteksi Kandidat gen eIF4E pada Ubi Jalar berdasarkan Analisis Komparatif Menggunakan Transcriptome.
2022,PKMRE,Pengembangan Set Primer Spesifik SARS-COV-2 Untuk Membedakan Varian Delta Dan Omicron dengan Pendekatan S-Gene Target Failure(SGTF) Berbasis RT-qPCR
2022,PKMK,Eco-enzyme Aromatik Berbasis Limbah Kulit Buah Tropis Sebagai Obat Kumur Organik Pencegah Halitosis
2022,PKMK,Salep CAMAR: Limbah Kulit Nyiri Batu Sebagai Pencegah Hiperpigmentasi Kulit
2022,PKMK,RANCANG BANGUN SISTEM VISI KOMPUTER PADA APLIKASI RECOPTIC BERBASIS MOBILE DENGAN FITUR PENDETEKSIAN OBAT UNTUK PENDERITA TUNANETRA
2022,PKMRE,Produksi Metabolit Torbangun (Coleus amboinicus Lour.) Secara Organik Sebagai Potensi Laktogagum dan Antihiperlipidemia Pada Berbagai Umur Panen
2022,PKMPM,Creative Cognitive Behavior Counseling With Bullet Journal and Drawing Untuk Meningkatkan Self Esteem di Kampung Literasi Lingkup Kosong Lima
2022,PKMPM,Musikalisasi Puisi dan Parade Dongeng Nusantara Dengan Memanfaatkan Limbah Nonorganik Sebagai Solusi Ketergantungan Gawai Bagi Anggota Taman Baca Bunda Depok
2022,PKMPM,Pelatihan Budidaya Lele Jenis Clarias Batrachus (Lele Lokal) dengan Sistem Biofok Bagi Karang Taruna RW. 005 Kecamatan Kalideres Jakarta Barat
2022,PKMPM,Smart Parenting Melalui Pemanfaatan Teknologi Pendidikan Bagi Anggota PKK Rw 06 Pancoran
2022,PKMRSH,Pengaruh Penerapan PBL Berbasis Kearifan Lokal terhadap Kemampuan Berpikir Kritis dan Keterampilan Berbicara Peserta Didik di SLB Harapan Utama Ananda
2022,PKMRSH,Pengembangan Aplikasi Etnofisika Berbasis Android pada Permainan Tradisional Gasing untuk Meningkatkan Pemahaman Konsep Fisika Siswa
2022,PKMRE,Pengembangan Label Pintar Berbahan N-Glutaril Kitosan/PVA dengan Ekstrak Apple Pomace sebagai Indikator Kesegaran Daging Sapi
2022,PKMK,Scented Soft Candle
2022,PKMK,KERING (Keripik Cimpring)
2022,PKMPM,PELATIHAN BAHASA INGGRIS DAN DIGITAL MARKETING PADA KOMUNITAS PEMULUNG DI KAMPUNG PEMULUNG PINANG RANTI JAKARTA TIMUR
2022,PKMK,'THE LARVA' PAKAN TERNAK BERPROTEIN TINGGI : SOLUSI CEMARAN LIMBAH INDUSTRI RETAIL
2022,PKMPM,PEMBENTUKAN TIM DASHAT (DAPUR SEHAT ATASI STUNTING) DAN PEMANFAATAN MENU MPASI PENUH GIZI BERBASIS PANGAN LOKAL DI POSYANDU KELURAHAN PADASUKA
2022,PKMRSH,ANALISIS KEBUTUHAN MEDIA PEMBELAJARAN PADA MATA PELAJARAN MATHEMATICS ENGLISH SISWA SEKOLAH DASAR ISLAM TERPADU AL-AZHAR 15 PAMULANG
2022,PKMK,RELICER (Renda Lip Care): Inovasi Bisnis Kecantikan dari Buah Renda/Natal plum
2022,PKMPI,PENERAPAN TEKNOLOGI IOT (INTERNET OF THINGS) SEBAGAI SOLUSI MENINGKATKAN EFISIENSI KINERJA DALAM MONITORING DAN CONTROLING PADA TOKO HIDROPONIK 21
2022,PKMPM,Implementasi Tongkrongan Literasi dan Koperasi Kepada Siswa Sekolah Master (Masjid Terminal) Guna Meningkatkan Kualitas Literasi dan Taraf Perekonomian
2022,PKMPM,PELATIHAN NUTRI-PROMIC (PANGAN TINGGI PROTEIN-ZAT GIZI MIKRO) SEBAGAI PENINGKATAN KESEHATAN DAN KEMANDIRIAN REMAJA KAMPUNG PENAMPUNGAN PEMULUNG DI YAYASAN OBAMA INDONESIA
2022,PKMPM,PEMBERDAYAAN MASYARAKAT MELALUI PELATIHAN PENGOLAHAN IKAN BLUE MARLIN SEBAGAI OLEH-OLEH KHAS PELABUHAN RATU-SUKABUMI
2022,PKMPM,Perbaikan Pendidikan Dengan Pemanfaatan Sekolah Alam Untuk Anak Yatim Piatu dan penghafal Al-Quran di Gunung Sindur
2022,PKMPM,Upaya Meningkatkan Minat Belajar Matematika Anak Usia Sekolah di Desa Ciater Tangerang Selatan dengan Menciptakan Aliansi Belajar Matematika (ABM)
2022,PKMPM,World Of Makhorijul Huruf (WOMH) Sebagai Alat Peraga Pembelajaran Al-Qur`an Di Noble Education School
2022,PKMRE,Keamanan Ekstrak Etanol 70% Daun Belimbing Wuluh (Averrhoa bilimbi L.) Terhadap Mencit Hamil yang Berpotensi sebagai Antidiabetes Gestasional
2022,PKMRSH,"ANALISIS KESIAPAN PENERAPAN CLEANLINESS, HEALTH, SAFETY, AND ENVIRONMENTAL SUSTAINABILITY PADA PELAKU UMKM DI PERKAMPUNGAN SETU BABAKAN"
2022,PKMRSH,Efektivitas Model Flipped Classroom Learning berbasis Augmented Reality terhadap Kemampuan Berpikir Kreatif Matematis
2022,PKMRSH,Kondisi Transformasi Sistem Pangan dalam Pencapaian Sustainable Development Goals pada Remaja Urban di Jakarta dan Bekasi
2022,PKMK,Inovasi Pengolahan Limbah Pipa PVC terhadap Elemen Arsitektur Fasad Hijau
2022,PKMPI,Implementasi digital marketing berupa konten edukasi kesehatan untuk meningkatkan kunjungan pasien pada praktik dr. Jessy Widiyanti
2022,PKMK,Layanan Internet Bersama: Home.Net
2022,PKMPI,TRANSFORMASI PETERNAKAN DIGITAL DENGAN MENGIMPLEMENTASIKAN TEKNOLOGI INTERNET OF THINGS (IOT) PADA ARJUNA FARM
2022,PKMRE,Formulasi dan Evaluasi Masker Gel Wash-off Ekstrak Kulit Buah Naga Merah (Hylocereus polyrizus) sebagai Antioksidan dengan Perbandingan Konsentrasi HPMC
2022,PKMRSH,Resep Meningkatkan Loyalitas Belanja Online selama Pandemic Covid-19 berdasar Karakteristik Konsumen Indonesia pada pelanggan Grabfood di Surabaya
2022,PKMRSH,Resep Sukses melalui Orientasi Homogen vs Prototypical pada Digital Marketing: Studi Kasus pada Pelanggan Sociolla di Surabaya
2022,PKMK,GESIT-POL : Genteng Komposit Polimer Ramah Lingkungan
2022,PKMK,"SMADAM (Smart Dam Water Quality Controller: Sistem Pengontrol Kualitas Air Bendungan Untuk Masyarakat di Desa Seraya, Kabupaten Karangasem, Bali"
2022,PKMK,Smart Health Record Terintegrasi Aplikasi Android sebagai Sistem Pengukuran dan Peramalan Status Gizi serta Persentase Lemak Tubuh secara Real-Time
2022,PKMRE,Biopelumas Ramah Lingkungan dari Maggot melalui Ekstraksi
2022,PKMVGK,"Kolase Lawan Covid-19: Museum dan Resort Futuristik, Upaya Implementasi SDG’s dalam Meminimalisir Penelantaran Infrastruktur Kesehatan dan Karantina Pasca Pandemi"
2022,PKMRE,Potensi Edible Coating Ekstrak Daun Mimba sebagai Pengawet Alami Ikan Patin Segar
